word,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,非零平均排位,非零个数,综合评分,均值归一,个数归一,rate,0.7,,
provide,0.060195646,0.069811221,0.045206577,0.066306849,0.060918563,0.061655113,0.054792374,0.021346038,0.046750374,0.045152151,0.062201419,0.054438504,0.054064569,12,0.400324383,0.143320547,1,0,,,
effect,0.078369119,0.059468818,0.010929062,0.02265484,0.118990464,0.065987635,0.100912573,0.081035883,0.027625221,0.047782373,0.018596301,0.015553858,0.053992179,12,0.400187748,0.143125354,1,0,,,
tool,0.064276707,0.053537146,0.095049725,0.074318927,0.007685987,0.055322966,0.044543441,0.026880195,0.015583458,0.047782373,0.096187761,0.055852492,0.053085098,12,0.398475646,0.140679495,1,0,,,
present,0.045465567,0.047909662,0.08296152,0.093658424,0.039853265,0.044658298,0.039418974,0.026880195,0.022312678,0.022795261,0.131456607,0.038177652,0.052962342,12,0.398243946,0.140348495,1,0,,,
support,0.073204027,0.08365179,0.025666738,0.034258539,0.023911959,0.091982763,0.064647117,0.025299007,0.034708611,0.063125337,0.023726314,0.086253215,0.052536285,12,0.39743977,0.139199671,1,0,,,
level,0.063128908,0.047453379,0.025666738,0.057189657,0.065473222,0.055656237,0.056369133,0.081035883,0.026562712,0.050412596,0.050658888,0.047368569,0.052247994,12,0.396895624,0.138422321,1,0,,,
environment,0.077285088,0.085933203,0.044544209,0.033429703,0.004269993,0.09431566,0.079626327,0.027670789,0.015937627,0.068824152,0.036551349,0.05161053,0.051666553,12,0.395798164,0.13685452,1,0,,,
develop,0.054201588,0.056731123,0.056301231,0.062991507,0.026758621,0.066987447,0.048091148,0.053760391,0.043917018,0.032439409,0.066048929,0.048075562,0.051358665,12,0.39521703,0.136024328,1,0,,,
educational,0.058346415,0.06829028,0.053320578,0.050282694,0.019641967,0.090982951,0.052821425,0.03676262,0.025146034,0.026740594,0.067972685,0.050196543,0.050042065,12,0.392731969,0.132474242,1,0,,,
teach,0.036602013,0.035894223,0.055142088,0.093382146,0.003985327,0.023662233,0.039024784,0.094080684,0.031166916,0.036384743,0.096187761,0.053731511,0.049937036,12,0.392533727,0.132191039,1,0,,,
development,0.043488803,0.05003898,0.037589351,0.049453858,0.017933969,0.070320156,0.049273717,0.057318064,0.050292069,0.037699854,0.051300139,0.083425241,0.049844517,12,0.3923591,0.131941571,1,0,,,
also,0.060259412,0.056731123,0.041563556,0.059676164,0.038999267,0.049324091,0.044543441,0.050598015,0.033646102,0.041645188,0.060277664,0.043126607,0.048365886,12,0.389568206,0.12795458,1,0,,,
show,0.067273736,0.06646515,0.030468901,0.048625023,0.053232576,0.048657549,0.063464548,0.062456925,0.032583594,0.032001039,0.043605119,0.031107717,0.04832849,12,0.389497622,0.127853745,1,0,,,
problem,0.054647954,0.051255733,0.039907637,0.062715228,0.018503302,0.088983325,0.056763322,0.049016827,0.059500476,0.008329038,0.066690181,0.020502813,0.048067986,12,0.389005926,0.127151323,1,0,,,
